"table","source_migration","canonical_status","tenant_key","rls_enabled","policy_summary","notes"
"confidence_events","202605210006_batch1_2_operational_stability.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_confidence_events","Direct organization scope."
"enterprise_events","202605210005_phase10_11_healthcare_cloud.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_enterprise_events","Direct organization scope."
"enterprise_forecasts","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_enterprise_forecasts","Direct organization scope."
"enterprise_playbooks","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_enterprise_playbooks","Direct organization scope."
"enterprise_simulations","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_enterprise_simulations","Direct organization scope."
"executive_report_snapshots","041_operational_memory_incidents.sql","canonical","organization_id|incident_id","True","service_role_all_executive_report_snapshots","Direct organization scope."
"faq_interactions","202605210001_phase4_production_schema.sql","canonical","lead_id","True","service_role_all_faq","Scoped by approved alternate/parent key: lead_id"
"forecast_accuracy","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_forecast_accuracy","Direct organization scope."
"forecasting_events","202605210005_phase10_11_healthcare_cloud.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_forecasting_events","Direct organization scope."
"gtm_prospects","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_gtm_prospects","Direct organization scope."
"healthcare_cloud_layers","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_healthcare_cloud_layers","Direct organization scope."
"infrastructure_awareness_snapshots","043_operational_cloud_mesh.sql","canonical","organization_id","True","service_role_all_infrastructure_awareness_snapshots","Direct organization scope."
"insight_snapshots","202605210002_phase5_ai_operations.sql","canonical","practice_id","True","service_role_all_insight_snapshots","Scoped by approved alternate/parent key: practice_id"
"intelligence_events","202605210005_phase10_11_healthcare_cloud.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_intelligence_events","Direct organization scope."
"intelligence_quality_events","202605210006_batch1_2_operational_stability.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_intelligence_quality_events","Direct organization scope."
"intelligence_runs","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_intelligence_runs","Direct organization scope."
"knowledge_graph_edges","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_knowledge_graph_edges","Direct organization scope."
"knowledge_graph_nodes","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_knowledge_graph_nodes","Direct organization scope."
"leads","202605210001_phase4_production_schema.sql","canonical","lead_id","True","service_role_all_leads","Scoped by approved alternate/parent key: lead_id"
"locations","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_locations","Direct organization scope."
"normalized_healthcare_events","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_normalized_healthcare_events","Direct organization scope."
"notifications","202605210002_phase5_ai_operations.sql","canonical","practice_id","True","service_role_all_notifications","Scoped by approved alternate/parent key: practice_id"
"open_dental_sync_checkpoints","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_open_dental_sync_checkpoints","Direct organization scope."
"operational_agents","043_operational_cloud_mesh.sql","canonical","organization_id","True","service_role_all_operational_agents","Direct organization scope."
"operational_api_keys","044_gap_closure_platformization.sql","canonical","organization_id","True","service_role_all_operational_api_keys","Direct organization scope."
"operational_audits_gtm","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_operational_audits_gtm","Direct organization scope."
"operational_digital_twins","043_operational_cloud_mesh.sql","canonical","organization_id","True","service_role_all_operational_digital_twins","Direct organization scope."
"operational_event_ledger","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_operational_event_ledger","Direct organization scope."
"operational_extensions","044_gap_closure_platformization.sql","canonical","organization_id","True","service_role_all_operational_extensions","Direct organization scope."
"operational_health_snapshots","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_operational_health_snapshots","Direct organization scope."
"operational_incident_events","041_operational_memory_incidents.sql","canonical","organization_id|incident_id","True","service_role_all_operational_incident_events","Direct organization scope."
"operational_incidents","041_operational_memory_incidents.sql","canonical","organization_id|incident_id","True","service_role_all_operational_incidents","Direct organization scope."
"operational_memory_entries","041_operational_memory_incidents.sql","canonical","organization_id|incident_id","True","service_role_all_operational_memory_entries","Direct organization scope."
"operational_metrics","202605210002_phase5_ai_operations.sql","canonical","practice_id","True","service_role_all_operational_metrics","Scoped by approved alternate/parent key: practice_id"
"operational_playbooks","202605210004_phase7_8_autonomous_os.sql","canonical","organization_id","True","service_role_all_operational_playbooks","Direct organization scope."
"operational_risk_events","202605210005_phase10_11_healthcare_cloud.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_operational_risk_events","Direct organization scope."
"operational_scores","202605210004_phase7_8_autonomous_os.sql","canonical","organization_id","True","service_role_all_operational_scores","Direct organization scope."
"operational_simulation_runs","042_governance_self_healing.sql","canonical","organization_id","True","service_role_all_operational_simulation_runs","Direct organization scope."
"operational_usage_meters","044_gap_closure_platformization.sql","canonical","organization_id","True","service_role_all_operational_usage_meters","Direct organization scope."
"optimization_events","202605210004_phase7_8_autonomous_os.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_optimization_events","Direct organization scope."
"orchestration_dependency_events","202605210006_batch1_2_operational_stability.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_orchestration_dependency_events","Direct organization scope."
"orchestration_events","202605210005_phase10_11_healthcare_cloud.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_orchestration_events","Direct organization scope."
"orchestration_logs","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_orchestration_logs","Direct organization scope."
"organization_members","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_organization_members","Direct organization scope."
"organizations","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_organizations","Direct organization scope."
"outreach_events","202605210001_phase4_production_schema.sql","canonical","lead_id","True","service_role_all_outreach","Scoped by approved alternate/parent key: lead_id"
"pms_integrations","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_pms_integrations","Direct organization scope."
"prediction_events","202605210004_phase7_8_autonomous_os.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_prediction_events","Direct organization scope."
"profiles","202605310001_first_user_bootstrap_profiles.sql","canonical","","True","service_role_all_profiles","No direct tenant key in table definition snippet; may depend on parent FK or is global."
"provider_health_snapshots","041_operational_memory_incidents.sql","canonical","organization_id|incident_id","True","service_role_all_provider_health_snapshots","Direct organization scope."
"queue_events","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_queue_events","Direct organization scope."
"recommendation_events","202605210004_phase7_8_autonomous_os.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_recommendation_events","Direct organization scope."
"recommendation_lineage","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_recommendation_lineage","Direct organization scope."
"recommendation_outcome_events","202605210006_batch1_2_operational_stability.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_recommendation_outcome_events","Direct organization scope."
"recommendations","202605210002_phase5_ai_operations.sql","canonical","practice_id","True","service_role_all_recommendations","Scoped by approved alternate/parent key: practice_id"
"recovery_orchestration_runs","044_gap_closure_platformization.sql","canonical","organization_id","True","service_role_all_recovery_orchestration_runs","Direct organization scope."
"referral_flywheel_events","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_referral_flywheel_events","Direct organization scope."
"replay_events","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_replay_events","Direct organization scope."
"reports","202605210002_phase5_ai_operations.sql","canonical","practice_id","True","service_role_all_reports","Scoped by approved alternate/parent key: practice_id"
"resilience_events","202605210006_batch1_2_operational_stability.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_resilience_events","Direct organization scope."
"revenue_orchestration_runs","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_revenue_orchestration_runs","Direct organization scope."
"roi_calculations","202605210001_phase4_production_schema.sql","canonical","lead_id","True","service_role_all_roi","Scoped by approved alternate/parent key: lead_id"
"runtime_audit_timeline","042_governance_self_healing.sql","canonical","organization_id|trace_id","True","service_role_all_runtime_audit_timeline","Direct organization scope."
"runtime_event_fabric_events","044_gap_closure_platformization.sql","canonical","organization_id","True","service_role_all_runtime_event_fabric_events","Direct organization scope."
"runtime_governance_decisions","042_governance_self_healing.sql","canonical","organization_id|trace_id","True","service_role_all_runtime_governance_decisions","Direct organization scope."
"runtime_governance_policies","042_governance_self_healing.sql","canonical","organization_id|trace_id","True","service_role_all_runtime_governance_policies","Direct organization scope."
"service_packages","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_service_packages","Direct organization scope."
"simulation_accuracy_events","202605210006_batch1_2_operational_stability.sql","test_demo_or_audit","organization_id","True","service_role_all_simulation_accuracy_events","Direct organization scope."
"simulation_events","202605210004_phase7_8_autonomous_os.sql","test_demo_or_audit","organization_id","True","service_role_all_simulation_events","Direct organization scope."
"subscription_entitlements","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id|lead_id","True","service_role_all_subscription_entitlements","Direct organization scope."
"subscription_plans","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_subscription_plans","Direct organization scope."
"swarm_consensus_runs","043_operational_cloud_mesh.sql","canonical","organization_id","True","service_role_all_swarm_consensus_runs","Direct organization scope."
"tenant_onboarding_runs","044_gap_closure_platformization.sql","canonical","organization_id","True","service_role_all_tenant_onboarding_runs","Direct organization scope."
"usage_counters","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id|lead_id","True","service_role_all_usage_counters","Direct organization scope."
"usage_metrics","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_usage_metrics","Direct organization scope."
"user_roles","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_user_roles","Direct organization scope."
"workflow_runs","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_workflow_runs","Direct organization scope."
